2021-10-31T17:51:15.451Z | INFO  |          main | c.w.r.RestApplication               | logStarting              : [{}] Starting RestApplication using Java 15.0.2 on Cat with PID 16588 (C:\Users\marti\Documents\wit_desafio\rest\build\classes\java\main started by marti in C:\Users\marti\Documents\wit_desafio\rest)
2021-10-31T17:51:15.468Z | INFO  |          main | c.w.r.RestApplication               | logStartupProfileInfo    : [{}] No active profile set, falling back to default profiles: default
2021-10-31T17:51:16.265Z | INFO  |          main | o.s.b.w.e.t.TomcatWebServer         | initialize               : [{}] Tomcat initialized with port(s): 8080 (http)
2021-10-31T17:51:16.280Z | INFO  |          main | o.a.c.h.Http11NioProtocol           | log                      : [{}] Initializing ProtocolHandler ["http-nio-8080"]
2021-10-31T17:51:16.280Z | INFO  |          main | o.a.c.c.StandardService             | log                      : [{}] Starting service [Tomcat]
2021-10-31T17:51:16.280Z | INFO  |          main | o.a.c.c.StandardEngine              | log                      : [{}] Starting Servlet engine: [Apache Tomcat/9.0.54]
2021-10-31T17:51:16.359Z | INFO  |          main | o.a.c.c.C.[.[.[/]                   | log                      : [{}] Initializing Spring embedded WebApplicationContext
2021-10-31T17:51:16.359Z | INFO  |          main | .ServletWebServerApplicationContext | prepareWebApplicationContext: [{}] Root WebApplicationContext: initialization completed in 844 ms
2021-10-31T17:51:16.374Z | INFO  |          main | o.s.b.w.s.RegistrationBean          | register                 : [{}] Filter loggerFilter was not registered (possibly already registered?)
2021-10-31T17:51:16.734Z | INFO  |          main | o.a.c.h.Http11NioProtocol           | log                      : [{}] Starting ProtocolHandler ["http-nio-8080"]
2021-10-31T17:51:16.759Z | INFO  |          main | o.s.b.w.e.t.TomcatWebServer         | start                    : [{}] Tomcat started on port(s): 8080 (http) with context path ''
2021-10-31T17:51:16.759Z | INFO  |          main | c.w.r.RestApplication               | logStarted               : [{}] Started RestApplication in 1.679 seconds (JVM running for 2.698)
2021-10-31T17:52:35.664Z | INFO  | o-8080-exec-1 | o.a.c.c.C.[.[.[/]                   | log                      : [{}] Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-10-31T17:52:35.664Z | INFO  | o-8080-exec-1 | o.s.w.s.DispatcherServlet           | initServletBean          : [{}] Initializing Servlet 'dispatcherServlet'
2021-10-31T17:52:35.665Z | INFO  | o-8080-exec-1 | o.s.w.s.DispatcherServlet           | initServletBean          : [{}] Completed initialization in 0 ms
2021-10-31T17:52:35.691Z | WARN  | o-8080-exec-1 | m.s.DefaultHandlerExceptionResolver | logException             : [{UUID=523BD784-B39C-42AE-A2B2-156ACD84DBBF}] Resolved [org.springframework.web.bind.MissingServletRequestParameterException: Required request parameter 'a' for method parameter type BigDecimal is not present]
